lift_id,movement,set_number,weight,reps,rpe,set_type,notes
225,lat pd,2,147.5,9,9,,
225,lat pd,3,147.5,8,9.5,,
226,db inc bench,1,65,12,9.5,,
226,db inc bench,2,65,10,9.5,,
227,db inc curl,1,25,10,8.5,,
227,db inc curl,2,25,8,9,,
228,overhead v tri,1,37.5,30,8,,
228,overhead v tri,2,42.5,12,8.5,,
228,overhead v tri,3,42.5,12,9.5,,drop
227,front squat,1,185,3,8.5,,
228,db rdl,1,75,13,8.5,,
227,front squat,2,185,3,9,,
228,db rdl,2,75,14,9,,
227,front squat,3,185,3,9,,
228,db rdl,3,75,16,9,,
229,weighted pull up,1,25,8,8.5,,
229,weighted pull up,2,25,8,8.5,,
229,weighted pull up,3,25,4,9,,pause slow reps
230,lat push down,1,60,12,9.5,,
230,lat push down,2,60,12,9.5,,
230,lat push down,3,60,12,9.5,,
231,cable row,1,160,8,9.5,,
231,cable row,2,160,8,9.5,,
231,cable row,3,160,8,9.5,,
232,cable curl,1,35,9,9.5,,
232,cable curl,2,35,6,9.5,,
233,decline sit up,1,0,12,9,,
233,decline sit up,2,0,12,9,,
233,decline sit up,3,0,12,9,,
234,hammer curl,1,20,20,9.5,,
235,strict press,1,95,8,8,,
236,bench,1,205,5,9,,
237,incline bench,1,60,12,9.5,,
237,incline bench,2,60,12,9.5,,
238,lat raise,1,20,10,9,,
238,lat raise,2,20,10,9,,
238,lat raise,3,20,10,9,,
239,pec dec,1,100,10,9.5,,
239,pec dec,2,100,10,9.5,,
239,pec dec,3,100,4,9.5,,slow pause reps
240,katana tri,1,12.5,20,9,,
240,katana tri,2,12.5,20,9.5,,
240,katana tri,3,12.5,20,10,,
241,dip,1,0,8,9,,
242,squat,1,245,8,10,,
243,leg extension,1,130,13,8.5,,
243,leg extension,2,130,13,9.5,,
244,calf machine,1,120,10,9,,
244,calf machine,2,120,10,9.5,,
245,dragon ab,1,0,12,8,,
245,dragon ab,2,0,12,8.5,,
245,dragon ab,3,0,12,9.5,,
245,dragon ab,4,0,12,9.5,,
246,strict press,1,115,8,9.5,,
246,strict press,2,125,4,10,,
246,strict press,3,125,2,10,drop,
247,weighted pull up,1,35,6,8.5,,
247,weighted pull up,2,35,6,9,,
247,weighted pull up,3,35,6,9.5,drop,
248,db inc bench,1,70,8,9,,
249,db inc curl,1,25,10,9,,
250,rope face pull,1,40,9,8.5,,
251,rope cable tri,1,40,16,9,,
251,rope cable tri,2,40,10,9.5,,
252,dips,1,0,8,9,,
253,hammer curl,1,25,15,9,,
254,pause front squat,1,185,5,8.5,,
254,pause front squat,2,195,4,9.5,,
254,pause front squat,3,195,4,9,,
254,pause front squat,4,195,4,9.5,,
254,pause front squat,5,200,3,9.5,,
255,db rdl,1,80,16,9,,
255,db rdl,2,80,14,9,,
255,db rdl,3,80,14,9,,
256,back extension,1,30,8,8.5,,
256,back extension,2,30,8,8.5,,
256,back extension,3,30,8,8.5,,
257,decline sit ups,1,0,14,9,,
257,decline sit ups,2,0,14,9,,
257,decline sit ups,3,0,14,9,,
258,bench,1,185,8,9,,
258,bench,2,195,7,9,,
258,bench,3,195,6,9,,
259,pull ups,1,0,8,8,,
259,pull ups,2,0,8,8,,
260,dips,1,0,8,9.5,,
260,dips,2,0,8,9.5,,
261,squat,1,225,5,7.5,,
261,squat,2,225,5,7.5,,
261,squat,3,225,5,7.5,,
261,squat,4,225,5,8,,
261,squat,5,225,5,7.5,,
261,squat,6,225,8,9,,
262,decline sit up,1,0,15,8.5,,
262,decline sit up,2,0,10,9,,
263,dragon ab raise,1,0,8,9.5,,
263,dragon ab raise,2,0,8,9.5,,
264,calf machine,1,140,8,8,drop,
264,calf machine,2,140,8,9,,
265,strict press,1,125,3,9,,
265,strict press,2,125,3,9,,
265,strict press,3,125,3,9,,
265,strict press,4,130,2,10,,
265,strict press,5,130,2,10,,
266,pull ups,1,0,12,9.5,,
267,lat pd,1,150,8,9,,
268,cable row ss,1,115,20,9,,
269,reverse lat pd ss,1,105,30,9.5,,
270,push ups as,1,0,70,9.5,,
271,dips,1,0,9,9,,
271,dips,2,0,8,9,,
271,dips,3,0,7,9,,
272,db inc curls,1,25,10,9,,
273,db hammer curls,1,25,8,9,,
274,overhead rope tri,1,35,15,8.5,,
274,overhead rope tri,2,35,10,9,,
275,deadlift,1,275,5,8,,
275,deadlift,2,295,5,8.5,,
275,deadlift,3,295,5,8.5,,
275,deadlift,4,315,4,9,,
275,deadlift,5,315,4,9.5,,
276,back extension,1,30,15,8.5,,
276,back extension,2,30,12,9,,
276,back extension,3,30,12,9.5,,
277,db hammer curl,1,30,13,9,,
278,weighted pull ups,1,30,8,9,,
278,weighted pull ups,2,30,7,9.5,,
278,weighted pull ups,3,30,6,9.5,,
279,cable row,1,160,5,9,drop,
279,cable row,2,160,5,9,drop,
280,cable curl,1,40,10,8.5,,
280,cable curl,2,40,10,8.5,,
281,tri push down,1,75,8,8,,
281,tri push down,2,75,8,8,,
282,squat,1,250,4,8.5,,
282,squat,2,250,4,8.5,,
282,squat,3,250,4,8.5,,
282,squat,4,250,4,8.5,,
282,squat,5,250,6,9.5,,
283,decline ab,1,0,16,9,,
284,dragon leg raise,1,0,8,9.5,,
284,dragon leg raise,2,0,8,9,,
284,dragon leg raise,2,0,6,9.5,,
284,dragon leg raise,3,0,8,9,,
284,dragon leg raise,3,0,6,9.5,,
285,db walking lunges,1,45,16,7.5,,
285,db walking lunges,2,45,16,8.5,,
285,db walking lunges,3,45,16,8.5,,
285,db walking lunges,4,45,16,8.5,,
286,single leg db rdl,1,40,4,7.5,,
286,single leg db rdl,2,40,4,7.5,,
286,single leg db rdl,3,40,4,7.5,,
287,bench,1,205,5,9,,
287,bench,2,205,5,9,,
287,bench,3,205,5,9,,
288,lat pd,1,145,10,9,,
288,lat pd,2,145,7,9.5,,
289,cable row,1,130,11,9,,
290,db inc press,1,60,10,9,,
290,db inc press,2,60,8,9,,
290,db inc press,3,60,5,9,,
291,rope hammer curl,1,47.5,7,9.5,,
291,rope hammer curl,2,57.5,5,9.5,,
291,rope hammer curl,3,57.5,5,9.5,drop,
292,preacher machine,1,75,6,9.5,partials,
292,preacher machine,2,75,6,9.5,partials,
293,deadlift,1,275,5,7,,
293,deadlift,2,315,5,9,,
293,deadlift,3,315,5,9,,
293,deadlift,4,325,4,9,,
293,deadlift,5,325,4,9.5,,
294,bench,1,160,18,10,,
294,bench,2,135,20,10,,
295,push press,1,95,12,8,,
296,pull ups,1,0,11,9,,
296,pull ups,2,0,10,9,,
296,pull ups,3,0,6,9,,
297,side raises,1,25,9,8.5,,
297,side raises,2,25,9,8.5,,
298,rope tri,1,37.5,20,9,,
298,rope tri,2,37.5,10,9.5,drop,
299,db inc curl,1,25,10,9,,
300,db alt curl,1,25,5,9.5,drop,
301,dips,1,0,9,8.5,,
302,cable row,1,130,6,8.5,drop,
303,pause front squat,1,185,5,8,,
303,pause front squat,2,195,4,9,,
303,pause front squat,3,205,4,9.5,,
303,pause front squat,4,205,4,9.5,,
303,pause front squat,5,205,4,9.5,,
304,squat,1,275,5,9.5,,
305,bulgarian split squats,1,45,12,7,,
305,bulgarian split squats,2,45,12,8,,
306,slow leg extension,1,130,8,9,,
306,slow leg extension,2,130,8,9,,
307,inc sit up,1,0,20,8.5,,
308,dragon leg raise,1,0,8,9,,
309,inc sit up,2,0,12,8.5,,
310,dragon leg raise,2,0,8,9,,
311,sl calf raise,1,30,10,7,,
312,strict press,1,95,10,8.5,,
312,strict press,2,115,6,9.5,,
313,slow pull ups,1,0,10,9,,
314,strict press,3,115,5,9.5,,
315,slow pull ups,2,0,9,9.5,,
316,strict press,4,115,6,9.5,,
317,slow pull ups,3,0,8,9,,
318,db inc bench,1,55,10,8.5,,
318,db inc bench,2,55,11,9,,
319,cable row,1,120,12,8.5,,
319,cable row,2,120,11,8.5,,
320,overhead rope tri,1,40,15,9,,
320,overhead rope tri,2,40,10,9,,
320,overhead rope tri,3,40,10,9,,
321,squat,1,245,3,7.5,,
321,squat,2,245,3,7.5,,
321,squat,3,245,3,7.5,,
321,squat,4,255,3,8,,
321,squat,5,265,3,9.5,,
321,squat,6,265,2,10,,
322,db lunges,1,50,30,6.5,,
323,db rdl,1,85,15,8,,
324,leg extension,1,140,11,8,,
325,back extension,1,35,8,8.5,,
326,back extension,1,35,8,8.5,,
327,back extension,1,35,8,8.5,,
328,incline sit up,1,0,15,7.5,,
328,incline sit up,2,0,8,8,,
328,incline sit up,3,0,8,8.5,,
329,dragon leg raise,1,0,8,8.5,,
329,dragon leg raise,2,0,8,8.5,,
329,dragon leg raise,3,0,8,9,,
330,machine calf raise,1,90,10,8,,
330,machine calf raise,2,90,10,8.5,,
330,machine calf raise,3,90,10,9.5,,
331,strict press,1,115,7,9,,
331,strict press,2,115,6,9,,
331,strict press,3,115,5,9,,
332,bench,1,185,7,8.5,,
332,bench,2,185,8,8.5,,
332,bench,3,185,8,9,,
333,lat pd,1,130,15,8.5,,
333,lat pd,2,130,10,8,,
333,lat pd,3,130,8,8,,
334,tri overhead,1,37.5,25,8.5,,
334,tri overhead,2,42.5,12,8.5,,
335,db inc curl,1,25,12,8.5,,
335,db inc curl,2,25,12,9,,
336,push ups,1,0,30,8,,
337,pull ups,1,0,13,8.5,,
337,pull ups,2,0,14,9,,
337,pull ups,3,0,14,9,,
338,dips,1,0,11,8.5,,
338,dips,2,0,11,8.5,,
339,chest flies,1,17.5,15,8,,
339,chest flies,2,22.5,10,9,,
340,preacher curl,1,45,15,8.5,,
340,preacher curl,2,45,15,9,,
341,strict press,1,85,12,9,,
341,strict press,2,95,10,9.5,,
341,strict press,3,95,7,9.5,,
342,pull ups,1,0,15,9,,
342,pull ups,2,0,12,9.5,,
342,pull ups,3,0,10,9.5,,
343,dips,1,0,14,9,,
344,machine press,1,50,10,8.5,,
345,dips,2,0,11,9,,
346,machine press,2,50,10,8.5,,
347,db curl,1,25,12,9,,
347,db curl,2,25,10,9,,
348,rope tri,1,42.5,16,8.5,,
348,rope tri,2,42.5,12,8.5,,
349,squat,1,265,3,9,,
349,squat,2,265,3,9.5,,
349,squat,3,265,3,9.5,,
349,squat,4,265,3,9.5,,
349,squat,5,265,2,9.5,,
350,decline ab,1,0,20,7,,
351,dragon leg raise,1,0,8,9,,
350,decline ab,2,0,10,8,,
351,dragon leg raise,2,0,8,9,,
350,decline ab,3,0,14,9,,
351,dragon leg raise,3,0,9,9.5,,
352,machine calf raise,1,90,15,8.5,,
352,machine calf raise,2,90,15,9,,
352,machine calf raise,3,90,12,9.5,,
353,bench,1,185,9,9,,
354,pull ups,1,20,9,8.5,,
353,,2,185,6,8.5,,
354,,2,20,8,8.5,,
353,,3,185,7,9,,
354,,3,20,9,9,,
355,machine shoulder press,1,100,10,9.5,,
355,,2,100,7,9.5,,
356,dips,1,0,12,8.5,,
356,dips,2,0,11,9.5,,
357,machine row,1,140,8,8.5,,
358,overhead rope tri,1,40,12,9,,
358,,2,40,10,9,,
359,preacher curl,1,45,16,9,,
359,preacher curl,2,45,10,9,,
